timestamp,frame_number,vehicle_count,density
0.0,0,32,low traffic
0.03336666666666667,1,34,low traffic
0.06673333333333334,2,32,low traffic
0.10010000000000001,3,32,low traffic
0.13346666666666668,4,32,low traffic
0.16683333333333333,5,34,low traffic
0.20020000000000002,6,32,low traffic
0.23356666666666667,7,30,low traffic
0.26693333333333336,8,31,low traffic
0.3003,9,29,low traffic
0.33366666666666667,10,31,low traffic
0.3670333333333333,11,30,low traffic
0.40040000000000003,12,28,low traffic
0.4337666666666667,13,29,low traffic
0.46713333333333334,14,34,low traffic
0.5005000000000001,15,31,low traffic
0.5338666666666667,16,32,low traffic
0.5672333333333334,17,33,low traffic
0.6006,18,30,low traffic
0.6339666666666667,19,28,low traffic
0.6673333333333333,20,32,low traffic
0.7007,21,28,low traffic
0.7340666666666666,22,26,low traffic
0.7674333333333333,23,31,low traffic
0.8008000000000001,24,31,low traffic
0.8341666666666667,25,31,low traffic
0.8675333333333334,26,31,low traffic
0.9009,27,31,low traffic
0.9342666666666667,28,27,low traffic
0.9676333333333333,29,31,low traffic
1.0010000000000001,30,30,low traffic
1.0343666666666667,31,28,low traffic
1.0677333333333334,32,30,low traffic
1.1011,33,34,low traffic
1.1344666666666667,34,32,low traffic
1.1678333333333333,35,35,low traffic
1.2012,36,33,low traffic
1.2345666666666666,37,30,low traffic
1.2679333333333334,38,32,low traffic
1.3013000000000001,39,34,low traffic
1.3346666666666667,40,37,medium traffic
1.3680333333333334,41,36,medium traffic
1.4014,42,35,low traffic
1.4347666666666667,43,36,medium traffic
1.4681333333333333,44,39,medium traffic
1.5015,45,37,medium traffic
1.5348666666666666,46,38,medium traffic
1.5682333333333334,47,38,medium traffic
1.6016000000000001,48,38,medium traffic
1.6349666666666667,49,43,high traffic
1.6683333333333334,50,41,medium traffic
1.7017,51,42,high traffic
1.7350666666666668,52,36,medium traffic
1.7684333333333333,53,38,medium traffic
1.8018,54,37,medium traffic
1.8351666666666666,55,33,low traffic
1.8685333333333334,56,34,low traffic
1.9019,57,38,medium traffic
1.9352666666666667,58,38,medium traffic
1.9686333333333335,59,37,medium traffic
2.0020000000000002,60,38,medium traffic
2.0353666666666665,61,38,medium traffic
2.0687333333333333,62,38,medium traffic
2.1021,63,40,medium traffic
2.135466666666667,64,34,low traffic
2.168833333333333,65,35,low traffic
2.2022,66,34,low traffic
2.2355666666666667,67,33,low traffic
2.2689333333333335,68,37,medium traffic
2.3023000000000002,69,35,low traffic
2.3356666666666666,70,35,low traffic
2.3690333333333333,71,32,low traffic
2.4024,72,35,low traffic
2.435766666666667,73,33,low traffic
2.469133333333333,74,33,low traffic
2.5025,75,34,low traffic
2.5358666666666667,76,34,low traffic
2.5692333333333335,77,35,low traffic
2.6026000000000002,78,35,low traffic
2.6359666666666666,79,35,low traffic
2.6693333333333333,80,36,medium traffic
2.7027,81,38,medium traffic
2.736066666666667,82,40,medium traffic
2.769433333333333,83,38,medium traffic
2.8028,84,36,medium traffic
2.8361666666666667,85,36,medium traffic
2.8695333333333335,86,37,medium traffic
2.9029000000000003,87,34,low traffic
2.9362666666666666,88,32,low traffic
2.9696333333333333,89,31,low traffic
3.003,90,33,low traffic
3.036366666666667,91,36,medium traffic
3.069733333333333,92,35,low traffic
3.1031,93,36,medium traffic
3.1364666666666667,94,35,low traffic
3.1698333333333335,95,41,medium traffic
3.2032000000000003,96,41,medium traffic
3.2365666666666666,97,37,medium traffic
3.2699333333333334,98,41,medium traffic
3.3033,99,40,medium traffic
3.336666666666667,100,41,medium traffic
3.370033333333333,101,38,medium traffic
3.4034,102,40,medium traffic
3.4367666666666667,103,38,medium traffic
3.4701333333333335,104,46,high traffic
3.5035000000000003,105,44,high traffic
3.5368666666666666,106,43,high traffic
3.5702333333333334,107,43,high traffic
3.6036,108,44,high traffic
3.636966666666667,109,45,high traffic
3.6703333333333332,110,44,high traffic
3.7037,111,40,medium traffic
3.7370666666666668,112,41,medium traffic
3.7704333333333335,113,42,high traffic
3.8038,114,43,high traffic
3.8371666666666666,115,45,high traffic
3.8705333333333334,116,44,high traffic
3.9039,117,47,high traffic
3.937266666666667,118,43,high traffic
3.9706333333333332,119,43,high traffic
4.0040000000000004,120,40,medium traffic
4.037366666666666,121,43,high traffic
4.070733333333333,122,42,high traffic
4.1041,123,40,medium traffic
4.137466666666667,124,41,medium traffic
4.170833333333333,125,41,medium traffic
4.2042,126,40,medium traffic
4.237566666666667,127,41,medium traffic
